query_id,query,true_category,inferred_category,selected_tier,input_tokens,output_tokens,cost_usd,quality_score,success,error
1,Why is my API returning 500 errors when I batch more than 100 requests?,technical,technical,economy,51,150,0.15816,0.0,True,
2,How do I implement OAuth2 refresh token rotation?,technical,technical,premium,40,1125,1.7654,0.8,True,
3,What's the difference between sandbox and production rate limits?,technical,product,premium,41,1231,1.9310200000000002,0.5,True,
4,My webhook signatures don't match — what am I doing wrong?,technical,technical,premium,43,1115,1.75058,0.5,True,
5,How do I paginate through 10K records efficiently?,technical,faq,standard,42,150,0.15383999999999998,0.85,True,
6,Why are my async jobs timing out after 30 seconds?,technical,product,economy,43,150,0.15688,0.0,True,
7,How do I implement idempotency keys correctly?,technical,faq,premium,41,1009,1.5846999999999998,0.65,True,
8,What's the schema for the v2 vs v3 API?,technical,technical,economy,43,150,0.15688,0.5,True,
9,My CORS preflight requests are failing — help!,technical,technical,standard,41,150,0.15356999999999998,0.7,True,
10,How do I handle partial failures in batch operations?,technical,product,premium,40,801,1.25996,0.5,True,
11,What encryption standard do you use for data at rest?,technical,technical,economy,41,150,0.15656,0.0,True,
12,How do I rotate API keys without downtime?,technical,technical,standard,39,150,0.15303,0.7,True,
13,My GraphQL mutations are returning null — why?,technical,technical,standard,40,150,0.1533,0.0,True,
14,How do I implement exponential backoff correctly?,technical,faq,standard,39,150,0.15303,0.7,True,
15,What's the max payload size for file uploads?,technical,faq,economy,40,3331,3.3374,0.7,True,
16,How do I validate webhook signatures in Python?,technical,technical,premium,39,872,1.37046,0.65,True,
17,Why is my SSE connection dropping after 5 minutes?,technical,product,standard,41,150,0.15356999999999998,0.0,True,
18,How do I implement cursor-based pagination?,technical,technical,standard,36,150,0.15222,0.7,True,
19,What's the rate limit for your ML inference endpoint?,technical,product,economy,41,150,0.15656,0.5,True,
20,How do I debug memory leaks in my integration?,technical,product,economy,40,986,0.9924,0.65,True,
21,Why was I charged twice this month?,billing,billing,standard,38,150,0.15275999999999998,0.7,True,
22,How do I update my credit card?,billing,faq,economy,38,1336,1.3420800000000002,0.65,True,
23,Can I get an invoice for my last payment?,billing,billing,premium,40,601,0.9479599999999999,0.5,True,
24,What's the difference between Pro and Enterprise plans?,billing,faq,standard,37,117,0.12114,0.7,True,
25,How do I cancel my subscription?,billing,faq,standard,37,107,0.11163999999999999,0.7,True,
26,Do you offer discounts for nonprofits?,billing,faq,economy,37,150,0.15592,0.0,True,
27,When does my billing cycle reset?,billing,billing,standard,37,150,0.15249,0.5,True,
