query,category,tier,confidence,success,quality_score,cost,reward,input_tokens,output_tokens,error
How do I implement OAuth2 refresh token rotation?,technical,premium,0.10000000000000003,True,0.85,1.035,0.3825000000000001,34,95,
Why is my API returning 500 errors when I batch more than 100 requests?,technical,premium,0.1,True,0.85,0.8125,0.4937500000000001,41,71,
What's the difference between sandbox and production rate limits?,technical,premium,0.3,True,0.85,0.655,0.5725,34,57,
My webhook signatures don't match — what am I doing wrong?,technical,premium,0.3,True,0.85,0.84,0.48000000000000015,36,75,
How do I paginate through 10K records efficiently?,technical,premium,0.4,True,0.85,1.1275,0.3362500000000001,35,104,
Why was I charged twice this month?,billing,standard,0.5,True,0.7,0.0318,0.5840999999999998,32,45,
How do I update my credit card?,billing,economy,0.75,True,0.6,1.06276,-0.13138,36,1057,
Can I get an invoice for my last payment?,billing,economy,0.75,True,0.6,1.65708,-0.4285400000000001,38,1651,
What's the difference between Pro and Enterprise plans?,billing,standard,0.65,True,0.7,0.037950000000000005,0.5810249999999999,33,55,
How do I cancel my subscription?,billing,economy,0.75,True,0.6,1.8396000000000001,-0.5198,35,1834,
How do I reset my password?,account,economy,0.75,False,0.0,0.1556,-1.0,35,150,
I'm locked out of my account — help!,account,standard,0.65,True,0.7,0.03015,0.5849249999999999,33,42,
How do I enable two-factor authentication?,account,economy,0.75,False,0.0,0.15575999999999998,-1.0,36,150,
Can I change my email address?,account,economy,0.75,False,0.0,0.1556,-1.0,35,150,
How do I delete my account?,account,economy,0.75,True,0.6,0.9116000000000001,-0.05580000000000007,35,906,
What features are included in the free plan?,product,standard,0.7,True,0.7,0.03735,0.5813249999999999,33,54,
Do you have a mobile app?,product,economy,0.7999999999999999,False,0.0,0.1556,-1.0,35,150,
What integrations do you support?,product,economy,0.7999999999999999,True,0.6,3.6136,-1.2067999999999999,35,3608,
Is there a Slack integration?,product,economy,0.7999999999999999,False,0.0,0.15544,-1.0,34,150,
Do you support webhooks?,product,economy,0.7999999999999999,True,0.6,10.24244,-4.5212200000000005,34,10237,
How do I contact support?,faq,economy,0.7999999999999999,False,0.0,0.15544,-1.0,34,150,
What are your hours?,faq,standard,0.7,True,0.7,0.03195,0.584025,29,46,
Do you have a phone number?,faq,economy,0.7999999999999999,True,0.6,1.3606,-0.08030000000000004,35,1355,
Where's your documentation?,faq,standard,0.7,True,0.7,0.02835,0.5858249999999998,29,40,
Do you offer trials?,faq,economy,0.7999999999999999,False,0.0,0.15528,-1.0,33,150,
How do I implement OAuth2 refresh token rotation?,technical,premium,0.10000000000000003,True,0.85,1.055,0.3725000000000001,34,97,
Why is my API returning 500 errors when I batch more than 100 requests?,technical,premium,0.1,True,0.85,0.8325,0.48375000000000007,41,73,
What's the difference between sandbox and production rate limits?,technical,premium,0.3,True,0.85,0.7949999999999999,0.5025000000000002,34,71,
My webhook signatures don't match — what am I doing wrong?,technical,premium,0.3,True,0.85,0.75,0.5250000000000001,36,66,
How do I paginate through 10K records efficiently?,technical,premium,0.4,True,0.85,0.9175000000000001,0.4412500000000001,35,83,
Why was I charged twice this month?,billing,standard,0.5,True,0.7,0.035399999999999994,0.5822999999999998,32,51,
How do I update my credit card?,billing,economy,0.75,False,0.0,0.15575999999999998,-1.0,36,150,
Can I get an invoice for my last payment?,billing,economy,0.75,False,0.0,0.15608,-1.0,38,150,
What's the difference between Pro and Enterprise plans?,billing,standard,0.65,True,0.7,0.04395,0.578025,33,65,
How do I cancel my subscription?,billing,economy,0.75,True,0.6,0.5706,0.11469999999999997,35,565,
How do I reset my password?,account,economy,0.75,True,0.6,0.6576000000000001,0.07119999999999993,35,652,
I'm locked out of my account — help!,account,standard,0.65,True,0.7,0.027749999999999997,0.586125,33,38,
How do I enable two-factor authentication?,account,economy,0.75,False,0.0,0.15575999999999998,-1.0,36,150,
Can I change my email address?,account,economy,0.75,False,0.0,0.1556,-1.0,35,150,
How do I delete my account?,account,economy,0.75,True,0.6,0.7516,0.024199999999999944,35,746,
What features are included in the free plan?,product,standard,0.7,True,0.7,0.03675,0.5816249999999998,33,53,
Do you have a mobile app?,product,economy,0.7999999999999999,True,0.6,3.3636,-1.0817999999999999,35,3358,
What integrations do you support?,product,economy,0.7999999999999999,False,0.0,0.1556,-1.0,35,150,
Is there a Slack integration?,product,economy,0.7999999999999999,True,0.6,3.3224400000000003,-1.06122,34,3317,
Do you support webhooks?,product,economy,0.7999999999999999,False,0.0,0.15544,-1.0,34,150,
How do I contact support?,faq,economy,0.7999999999999999,True,0.6,2.11744,-0.4587200000000001,34,2112,
What are your hours?,faq,standard,0.7,True,0.7,0.03795,0.5810249999999999,29,56,
Do you have a phone number?,faq,economy,0.7999999999999999,True,0.6,1.4696,-0.13480000000000003,35,1464,
Where's your documentation?,faq,standard,0.7,True,0.7,0.025949999999999997,0.5870249999999999,29,36,
